Model,Batch Size,Patience,Epochs,Learning Rate,Monitor Metric,Test Accuracy
DNN-9,128,5,100,0.001,val_accuracy,0.28182870615273714
DNN-9,64,3,100,0.0001,val_accuracy,0.2818287058422963
DNN-3,128,3,50,0.001,val_accuracy,0.2818287058422963
DNN-1,64,3,50,0.0005,val_accuracy,0.28182870522141457
DNN-6,64,3,100,0.001,val_accuracy,0.2818287033587694
DNN-5,64,5,50,0.0001,val_accuracy,0.2818287030483286
DNN-1,128,10,50,0.001,val_accuracy,0.2815393526107073
DNN-4,128,10,100,0.001,val_accuracy,0.28153935198982555
DNN-3,64,3,50,0.001,val_accuracy,0.28153935198982555
DNN-8,64,3,50,0.0001,val_accuracy,0.28153935136894387
DNN-6,128,3,50,0.0005,val_accuracy,0.28153935136894387
DNN-7,128,5,100,0.001,val_accuracy,0.2815393501271804
DNN-5,128,3,100,0.0001,val_accuracy,0.2812500015522043
DNN-6,64,5,50,0.001,val_accuracy,0.28125000031044084
DNN-9,64,5,100,0.001,val_accuracy,0.28124999968955916
DNN-9,64,5,50,0.001,val_accuracy,0.28124999968955916
DNN-5,64,3,100,0.001,val_accuracy,0.28124999937911827
DNN-6,64,3,50,0.001,val_accuracy,0.28124999937911827
DNN-8,128,5,50,0.0001,val_accuracy,0.28124999937911827
DNN-9,64,5,100,0.0001,val_accuracy,0.2809606508041422
DNN-1,128,10,100,0.0001,val_accuracy,0.28096064801017445
DNN-9,128,5,100,0.0001,val_accuracy,0.28096064801017445
DNN-2,64,5,50,0.0005,val_accuracy,0.28096064552664757
DNN-8,64,10,100,0.0001,val_accuracy,0.2809606436640024
DNN-9,128,10,50,0.0001,val_accuracy,0.280671297882994
DNN-8,128,3,50,0.001,val_accuracy,0.2806712972621123
DNN-3,128,3,100,0.0005,val_accuracy,0.2806712972621123
DNN-5,128,10,100,0.0001,val_accuracy,0.28067129633078974
DNN-1,64,5,100,0.0005,val_accuracy,0.28038194713493186
DNN-7,128,5,50,0.001,val_accuracy,0.2803819452722867
DNN-5,64,3,100,0.0005,val_accuracy,0.28038194434096414
DNN-5,64,3,50,0.0001,val_accuracy,0.28009259700775146
DNN-6,64,3,100,0.0005,val_accuracy,0.27980324253439903
DNN-1,128,10,100,0.001,val_accuracy,0.2798032412926356
DNN-3,128,5,50,0.0001,val_accuracy,0.2798032412926356
DNN-2,64,5,100,0.0001,val_accuracy,0.2798032412926356
DNN-0,128,10,50,0.0001,val_accuracy,0.279803238188227
DNN-1,64,10,100,0.001,val_accuracy,0.2795138908550143
DNN-5,64,5,100,0.0005,val_accuracy,0.2795138902341326
DNN-5,128,3,100,0.0005,val_accuracy,0.27951388868192834
DNN-8,64,5,50,0.0005,val_accuracy,0.27922453979651135
DNN-5,64,10,100,0.0001,val_accuracy,0.2792245388651888
DNN-1,128,5,50,0.001,val_accuracy,0.2792245385547479
DNN-7,64,5,100,0.001,val_accuracy,0.2792245379338662
DNN-1,64,10,100,0.0001,val_accuracy,0.2792245342085759
DNN-9,128,3,50,0.0001,val_accuracy,0.2789351847022772
DNN-7,128,10,100,0.0005,val_accuracy,0.2789351815978686
DNN-1,64,5,100,0.001,val_accuracy,0.2786458367481828
DNN-9,128,3,50,0.0005,val_accuracy,0.2786458311602473
DNN-1,64,10,50,0.0005,val_accuracy,0.2783564841374755
DNN-1,64,3,100,0.001,val_accuracy,0.2783564832061529
DNN-4,64,10,50,0.0005,val_accuracy,0.27835648010174435
DNN-3,128,3,100,0.001,val_accuracy,0.2783564794808626
DNN-2,64,5,50,0.001,val_accuracy,0.2780671293536822
DNN-4,128,5,50,0.001,val_accuracy,0.2777777786056201
DNN-8,64,5,100,0.0001,val_accuracy,0.27748842785755795
DNN-8,128,3,50,0.0001,val_accuracy,0.2774884269262354
DNN-1,64,5,50,0.001,val_accuracy,0.27748842475314933
DNN-1,128,10,50,0.0005,val_accuracy,0.27748842413226765
DNN-1,128,3,100,0.001,val_accuracy,0.2771990755572915
